Tronc commun,,,Population,,,,,,,,,Mobilité,,,,,,,,,,Souhait,Evaluation de la démarche,,,
Pays de lumbres c'est quoi ?,Si autre Pays de Lumbres,Comment décrivez-vous ce territoire ?,Qu'est-ce qui attire les nouveaux habitants ?,Pourquoi ?,Quelle raison villes éloignées ?,Etes-vous satisfait de l'offre santé ?,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,"Voiture, qu'en pensez vous ?",Transports en commun,Commentaire,Vélo,Commentaire,Marche à pied,Commentaire,Covoiturage,Commentaire,Pourquoi ?,"Si vous aviez une baguette magique, qu'est-ce que vous changeriez sur le territoire ?",,Si oui comment ?,Si autre moyen,Que pensez-vous de cette démarche de concertation ?
un regroupement de 36 communes,,Différents territoires dans le même territoire. D'un côté plus proche du Boulonnais et de l'autre de la Calaisis.,"Beaucoup moins cher, le fait d'être à la campagne et d'être plus proche des villes","Du fait des zones extérieures (commerciales), ça a fait beaucoup de mal au centre ville. Il n'y a rien de vivant sur la place de Lumbres / rien qui fait que le centre est animé (bars, restos, cafés). ","A Escoeuilles, Coulomby : ce sont des jeunes qui s'éloignent de Boulogne car c'est cher. Plus tu t'éloignes moins c'est cher.",Pas vraiment,On n'est pas très loin de Saint Omer mais il faudrait un centre médical,Faire un City stade dans notre village à Quelmes ,"C'est nul c'est à Saint Omer. Il aurait fallu faire une médiathèque au centre de la CCPL et pas à Escoeuilles, C'est trop éloigné pour les gens de Pihem par exemple.",ça manque de magasins de bricolage ,il y a ce qui faut : l'ADMR ,dans un milieu rural il n'y a pas le choix.,Non pas du tout,pas forcément utile ,Je le fais déjà pour,mes loisirs / vtt,J'accepterais si,on ne développe pas assez les chemins de randonné / par exemple autour du Mont de Quelmes c'est beau mais pas aménagé (Mont Calcaire),Non pas du tout,pas d'heures fixes / au Travail ,,"Faire une discothèque à Leulinghem / moins de risques sur la route car nos jeunes doivent faire 45mn de route aujourd'hui. sinon je fermerais la CCPL et je laisserais les villages se gérer seuls. Je ne suis pas contre le regroupement de communes mais pour la fermeture de la CCPL. Il y a des choses à faire mais il faut aller à l'essentiel. A quoi ça sert de faire une piscine avec des toboggans qui coute cher, il faut juste un endroit pour que les jeunes apprennent à nager ",,,Voix Publique ,c'est bien mais ça aurait du être fait à la création de la CCPL 
Je ne sais pas,,c'est la beauté du paysage et ici c'est la pèche ,la tranquilité c'est la campagne c'est plus la ville ,impots locaux élevés ,c'est bizarre car ils s'éloignent du travail ,Pas vraiment,on n'a plus de docteur à Wavrans ,à part le foot (club de foot à wavrans) après il faut aller à Lumbres,à Saint Omer (Longuennesse) il y a une salle de spectacle ,On n'a plus de boulangerie à Wavrans mais il y a deux camions qui passent et après c'est lumbres ,,je ne sais pas moi j'en ai 3. 1 chacun et une de rechange. Il faut une voiture. ,J'accepterais si,il y en avait qui viendrait jusqu'à Wavrans ,Non pas du tout,,Je le fais déjà pour,promener le chien ,Non pas du tout,,,Régler le problème pour le ramassage des déchets verts : il faut courir jusqu'à Lumbres ,,,,"je n'en sais rien / pas grand chose. Je ne m'intéresse pas trop à ma commune alors à la CCPL. Et je n'y crois pas, ils feront bien ce qu'ils veulent. "
Je ne sais pas,,j'aime bien ma commune. Calme et beaucoup de coins à visiter comme le mont et les gens sont sympatiques,"c'est la campagne , tranquilité et pour les balades avec les enfants ","au niveau des impots peut être, loyers trop chers ",NSP,oui,à Wavrans il y a 1 docteur sinon il faut aller à lumbres ou Fauquembergues. Mais il n'y a que 3km,c'est à lumbres ,wavrans biblio et sinon il faut aller à lumbres (5mn) et Saint Omer (15/20mn),1 seul boucherie à Wavrans. Pas de boulangerie/ épicerie à Wavrans et ça c'est bète,infirmière à Wavrans et Lumbres et coiffeur aussi à Wavrans ,Si on n'a pas de voiture ici on ne fait rien ! C'est nécessaire quand on habite à la campagne ,,,Non pas du tout,,Je le fais déjà pour,aller au Mont ,Je le fais déjà pour,la famille ,je trouve que c'est bon y'en a déjà assez ,je ne vois pas je suis nouvelle sur le territoire ,,,,c'est bien de passer comme ça et peut être que certaines choses vont être changées grâce à l'avis des habitants 
Je ne sais pas,,il est beau je suis tombée amoureuse de ma région ,se rapprocher de la mer ,nsp ,nsp ,oui,on a tout sur Lumbres maison des services ,,,"Fauquembergues, Wizernes ou Lumbres ",,On est obligé dans le Pas-de-Calais ,J'accepterais si,je n'avais plus de voiture demain je serai bien contente ,Non pas du tout,,Je le fais déjà pour,me balader dans la nature ,J'accepterais si,faudrait que je m'y mette ,"c'est bien d'en trouver dans la campagne, pour ceux qui n'aiment pas la ville. ""en plus ils sont tous en ville et moi j'ai été très contente d'en trouver en village""",aucune idée je ne connais pas encore assez ,,,,c'est bien ça peut faire évoluer/changer les choses. Il faut l'avis de tout le monde 
Je ne sais pas,,c'est la campagne ici,c'est moins cher ,nsp,nsp,oui,Tout est à lumbres ,lumbres ,lumbres ,Tout est à proximité ,,comment voulez vous faire autrement ? ,J'accepterais si,jamais je ne peux plus utiliser mon auto ,Non pas du tout,,Je le fais déjà pour,me promener ,J'aimerais mais,faut que je m'y mette ,Si on en a besoin oui ! ,les mentalités : retrouver l'esprit village. Créer des évènements fédérateurs où les gens peuvent se retrouver / faire la fête ,,,,c'est bien si on tient en compte ce qu'on vous dit 
Une communauté de communes,2,c'est une région que j'aime bien. Il y a de quoi faire des balades ,moins cher au niveau immobilier / niveau de vie. Et c'est une belle région ,"les industries / papeterie etc qui ont fermé , et les mines qui ont fermé ",c'est moins cher et tranquilité ,oui,cabinet médical ,,internet gros concurrent de tout ça. Il y quand même de la culture locale ,qu'une boucherie et boulangerie ,C'est à lumbres ou wizernes (4km),c'est obligé. C'est même pire c'est au moins 2 ou 3 voitures par maison ,J'aimerais mais,y'en n'a pas et avec des horaires flexibles ,Non pas du tout,,Je le fais déjà pour,me promener ,Je le fais déjà pour,tout. Et je l'ai toujours fait quand je travaillais à la Cristallerie ,il y en a déjà pas mal à Esquerdres. Il ne faut pas inciter les jeunes à ne rien faire / tout leur donner ,goudronner les trottoirs à Esquerdres. Les transports à améliorer ,,,,mon avis comme ça ce n'est pas officiel / questionnaire 
Une communauté de communes,2,dans l'ensemble pas mal et varié paysage campagne ,honnetement je n'en sais rien car je n'en vois pas l'interet / plus d'industries. à part le fait de vouloir vivre à la campagne et moins cher / prix de l'immobilier ,je ne sais pas tout disparait ,prix de l'immobilier et taxes d'habitation ,oui,les médecins ne veulent pas venir dans les campagnes ,je ne suis pas d'accord pour augmenter ,si c'est pour faire des gros équipements et que ça ne soit pas rentabilisé : pas assez de monde pour fréquenter et trop cher ,,"tout ce concentre maintenant sur les zones commercials , mais ok pour le regroupement des agriculteurs ",c'est normal ,J'accepterais si,"ça existait, il n'y a pas d'inter connexion avec la CASO, les horaires existants ne calent pas ",J'aimerais mais,"il n'y a pas d'équipements valables, c'est dangereux ",Je le fais déjà pour,mes balades au moins 9km / jour ,Je le fais déjà pour,inscrit sur BLABLA CAR ,je ne sais pas ,"la gestion des déchets verts, il faut tout mettre à la décheterie de Lumbres (trop loin), il faudrait une tournée des décherts verts. Et la voierie à entretenir ",,,vaguement par des proches ,
Je ne sais pas,,je ne me verrais pas ailleurs qu'ici. C'est bien / tranquilité ,tranquilité campagne ,nsp ,nsp,oui,,il n'y a plus de salle de musculation. Il y en avait une avant sur Lumbres mais elle a fermé et celle de Saint Omer il y a trop de monde ,,,,en campagne c'est obligé ,J'accepterais si,horaires de bus plus réguliers ,Non pas du tout,,Non pas du tout,,Non pas du tout,,il n'y en a pas assez ,nsp ,,,,c'est intéressant 
,,campagne / plus de sécurité qu'en ville. Paysage verdoyant belle région on en est fier ,côté sécurité calme campagne ,entreprises qui ont fermé et les commerces fermés ,nsp,oui,on a un médecin ,,il y a tout ce qui faut : ciné / St O (pas loin) et médiathèque / Lumbres,on va au leclerc (lumbres) à part les gens agés qui doivent se déplacer mais on a quand même tout à proximité,pas de structures médicalisées dans le coin pour accueillir les personnes agées / malades. Je n'ai pas trouvé de place pour placer mon père atteint d'azheimer. Maintenant il est à Devres mais ça a été très compliqué et pas de soutien ,pour aller au travail il faut une voiture ,Non pas du tout,autonomie ,Non pas du tout,pas sportive ,Je le fais déjà pour,ma détente ,Non pas du tout,pas concerné ,je ne suis pas contre ,les trottoirs à Esquerdres pour la sécurité des jeunes et la mobilité des personnes agées ,,,,c'est bien pourquoi pas pour une fois qu'on demande 
Je ne sais pas,,des choses à découvrir ,ils ont bâti ,vieille ville ,constructions nouvelles ,oui,,manque salle multi sports ,bibliothèque à esquerdres ,,,c'est normal non il n'y a rien d'autre,J'accepterais si,"ça peut être utile, pour les courses ",Non pas du tout,,Je le fais déjà pour,détente ,Je le fais déjà pour,aller à Paris ,là où il y a le besoin ,nsp,,,à la gym,je ne sais pas 
autre,la ville ,très bien ,campagne ,pas de travail à Lumbres et dans les alentours ,tranquilité et prix des terrains ,oui,,,,grandes surfaces à lumbres et saint omer ,,pas surpris ,J'accepterais si,"je ne pouvais plus conduire, si j'étais obligé",Je le fais déjà pour,les petits achats dans les commerces environnants ,Je le fais déjà pour,la santé / me promener ,Non pas du tout,on a notre voiture ,il y en a déjà,un supermarché sur esquerdres ,,,,c'est bien 
autre,la vallée,grand et sans voiture ce n'est pas évident ,je ne sais pas moi je préfère la ville. Il n'y a pas beaucoup de jeunes qui sont arrivés,"je ne sais pas, les gens sont pourtant agréables, il y a quelques commerces ",nsp,Pas vraiment,"je viens de changer de médecins, les jeunes médecins ont peur de la sécu. Mon médecin est parti en retraite. Quand on est malade ce n'est pas gai, l'avenir du point de vu des médecins est inquiétant ",fais pas de sport ,il y a tout ce qu'il faut ,,j'ai mon marchand ambulant qui passe donc ça va. ça dépanne bien / j'y tiens ,"je préfèrais être à la CASO, Saint Omer est mieux desservis en bus, lumbres c'est pas évident ",J'accepterais si,"bus pour aller au marché de lumbres, pour les personnes agées ",Non pas du tout,je fais de l'asthme ,Je le fais déjà pour,promener mon chien ,J'aimerais mais,"pas d'offres, des fois je dois juste faire une petite course sur Saint Omer et avec les bus les horaires sont trops éloignés ",commune trop petite pour ça. Moi je cherche une maison locative mais pas ici plutôt dans une petite ville ,"plus de choses pour qu'il y ait du lien social avec les personnes agées. des sorties (mer, Louvres Lens, ciné avec des bus). des repas pour les veufs et retraités ",,,,rien 
Une communauté de communes,,vallonné boisé avec de l'eau ,prix des terrains et proximité de l'autoroute. Rocade et beauté paysages ,"pas beaucoup de commerces, assez triste, plutôt ville passante ","saint omer est en difficulté aussi niveau commerces, les commerces auraient besoin de se rebooster. Les villages apportent tranquilité sans être isolé ",oui,dentiste médecin kiné ,nouvelle piscine Lumbres ,médiathèque bibliothèque ,il n'y a que des supermarchés ça pourrait être mieux ,dans les villages on n'a pas à se plaindre. Pour les personnes agées je ne sais pas trop ,"je vais à saint omer tous les jours en voiture. On n'a pas de système de bus comme la CASO, toutes les 30mn",J'accepterais si,il y avait un roulement toutes les heures ,Non pas du tout,à cause mété et vallon,Je le fais déjà pour,le loisirs ou petits commerces ,Non pas du tout,compliqué / horaires ,s'il y a demande pourquoi pas en plus ici il y a tout pour les familles ,organiser des découvertes du territoire pour attirer le tourisme (la rando /ex),,,,"c'est très intéressant, il faut ! on peut donner notre avis "
autre,vallée de l'AA,accueillant chaleureux ,campagne ,taxes / impots qui ont augmenté sur Lumbres ,"la sédentarité, les gens aiment se rapprocher des villes (Boulogne etc)",beaucoup,docteur ,,on n'a pas besoin d'aller loin pour bénéficier de services ,"c'est plus compliqué, j'étais artisan ici et ce n'était pas rentable ",,on n'es pas desservis niveau bus ,J'accepterais si,il y en avait plus ,Non pas du tout,,Je le fais déjà pour,la santé ,Non pas du tout,je travaille pas loin / pas utile ,mais il y a aussi des logements vides (Pas de Calais habitat) et qui sont à vendre ,sur ma commune tout va bien à part la pénurie de logements. ,,,,c'est très bien si les gens répondent 
autre,communes autour de lumbres ,vallonné ,nsp,pas grand chose à faire / Saint Omer et Longuennesse,calme et taxes qui doivent être moins élevées. etre à la campagne sans être éloigné de tout ,oui,mais manque de dentiste ,,"ça manque de choses pour les enfants, des bibliothèques ",c'est bien qu'un magasin de bricolage arrive sur Lumbres ,,c'est logique rien que pour aller travailler ,Non pas du tout,trop souvent parti ,Non pas du tout,,Je le fais déjà pour,,Non pas du tout,inconnus non ,y'en a déjà dans ma commune ,ikéa ! ou magasin de bricolage et décoration ,,,,intéressant 
autre,ville ,calme mais lumbres c'est mort,pour se rapprocher du travail tout en étant au village. ,taxes foncières et d'habitation il y a beaucoup de maisons à vendre là-bas,"calme, moins cher, plus convivial au village. On se connait tous, on peut se promener, c'est plus sécurisant qu'en ville pour les enfants / aux voitures ",Pas du tout,"les nouveaux médecins qui s'installent ne prennent pas de nouveaux clients. à Lumbres ça va mais pas dans les villages. Dans une paire d'années on ne sait pas comment ça va être, il y a une pénurie ",foot karaté zumba ,pas/ou pas assez de specacles. On a des salles mais il n'y a pas de troupes qui viennent ça manque ,"pas beaucoup de commerces, ça manque des petites épiceries dans les villages","pharmacie, infirmière coiffeur ça va ","peut être qu'ils prennent la voiture pour rien, il faudrait peut être parfois privilégier la marche pour les petites distances dans les villages ",J'accepterais si,on avait plus de moyen de locomotion. Il y a le bus pour le lycée ,Je le fais déjà pour,se balader avec les enfants ,Je le fais déjà pour,se balader dans le village et dans les environs ,J'aimerais mais,je suis la seule du village à travailler à Lumbres ,ça dépend si c'est pour des personnes qui le méritrent. certains profitent ,le système d'aides / ne pas donner à ceux qui ne méritent pas. plus de sécurité : des rondes contre le vol etc. On ne voit pas souvent la gendarmerie passer car le territoire est grand. Refaire trottoirs pour la sécurité ,,,,si ça peut faire bouger les choses améliorer c'est bien
autre,un canton ,natrure campagne rural village ,"les paysages, et les tarifs de l'immobilier ","c'est une belle petite ville, je ne vois pas pourquoi. Elle est bien équipée, et entretenue ","les tarifs et s'éloigner de la ville, préférence pour la campagne . Autour c'est cher pour des jeunes qui veulent s'installer ",oui,,,,de tout pas très loin ,,"un peu logique, on prend moins la voiture en ville qu'en campagne, tout est plus loin ",Non pas du tout,quand je vais en ville je ne sais jamais avec quoi je vais revenir et les horaires ne sont pas toujours précis ,Je le fais déjà pour,le loisir si je travaillais à côté je le ferais à vélo,Non pas du tout,,J'aimerais mais,je ne peux pas le faire / aux horaires avec les collègues ,je ne suis pas concernée ,"plus de parking , on utilise tous la voiture et les parkings ne suivent pas. créer des entreprises du travail ",,,,"pourquoi pas, c'est toujours bien de prendre contact avec les gens concernés, ça fait avancer les choses "
un territoire,,agréable pour les balades ,"les paysages, l'espace permet d'avoir de grands terrains pour les enfants ",nous on voulait amménager sur Lumbres mais c'était impossible de trouver une maison à un prix correct ,"l'immobilier, sur St Omer il n'y a plus rien de disponible et ici c'est bien placé (Boulogne, Calais, ...)",Pas vraiment,"orthophoniste : 3 ans d'attente sur Lumbres, et pas de pédiatre ","pas mal de choses, les enfants font du sport, et il y a la piscine ",il n'y a que la médiathèque mais ça nous convient ,A Lumbres il n'y a pas grand chose / pas de magasin de bricolage. Obligé d'aller sur Saint Omer pour des bricoles ,,"on n'a pas le choix pour le travail. On n'a pas de travail pas loin de chez soi, pareil pour l'école ",J'aimerais mais,ça ne se fera jamais pour les horaires en poste (3/8),Non pas du tout,vallonné,Non pas du tout,,Je le fais déjà pour,le travail avec un collègue ,il y en a déjà pas mal à Lumbres etc ,"baisser le prix des terrains, et un centre médical qui regroupe tout ",,,,c'est bien pour une fois qu'on nous demande notre avis 
Une communauté de communes,2,"étendu, des communes proches de la ville ",tranquilité moins cher calme ,"pas de terrains batissables à Lumbres, et pour se garer c'est compliqué. C'est devenu une cité dortoir ",il y a plus d'habitants mais ce ne sont pas forcément des jeunes ,Pas vraiment,il faudrait un centre médical ,tout est concentré sur Lumbres ,en même temps on n'a pas vraiment besoin d'une grande salle ici ,zone du leclerc pas assez étendu on pourrait avoir plus de magasins ,,normal ,J'aimerais mais,pour aller sur Lumbres ou Saint Omer ,J'aimerais mais,certaines routes sont dangereuses ,Je le fais déjà pour,,J'accepterais si,ça correspondait à mon emploi du temps ,il y en a déjà assez il me semble,"une boite de nuit c'est vrai que ça alimenterait la vie dans les communes, pour les jeunes, plus de boulot lié à ça. un centre de santé avec divers corps de métier / spécialistes ",,,asso détente loisirs quélemoise ,j'espère qu'on sera entendu
Une communauté de communes,,grand territoire ,les impots et l'eau c'est beaucoup moins chers,"petits commerces mort, et depuis la rocade et la facilité d'aller à Saint Omer, les gens ont tourné le dos à Lumbres ","les terrains moins chers et la possibilité d'être entre différents secteurs, à mi chemin pour le travail pour les couples ",Pas du tout,"je vais à St Omer, c'était mon médecin quand j'y vivais je l'ai gardé et maintenant tout ce qui est santé je le fais là-bas ",,il faut aller à St Omer (Scénéo),,,on est obligé d'avoir une voiture pour aller travailler ,Non pas du tout,les bus de Saint Omer sont toujours vides (navettes mouvéo),J'accepterais si,pistes cyclables ,Je le fais déjà pour,chasse et chemins de rando balisés ,Je le fais déjà pour,travail (Quelmes Loon Plage),il y en a déjà dans ma commune pour le reste je ne sais pas ,plus de festivités sur Lumbres (Comme la fête médiévale qu'il y avait mais qui n'a jamais été reconduite),,,asso détente et loisirs ,j'espère qu'elle va porter ses fruits 
autre,Haut de France ,agréable beau et de beaux parcours pour se promener ,campagne et la région de manière générale ,les cas sociaux et le fait que ce soit cher. Il faut payer pour tout ça ,tranquilité. A Lumbres il y a tout donc on peut s'éloigner ,oui,docteur à wavrans et dentiste Lumbres ,,,,Tout à Lumbres ,On est obligé il n'y a pas d'autres transports ,J'accepterais si,pour faire une course ,Non pas du tout,,Je le fais déjà pour,bien être ,Non pas du tout,,il y en a déjà beaucoup qui se construisent ,"Baisser les impots et les taxes, donner moins d'aides à ceux qui ne font rien, qui profitent du système ",,,,c'est bien 
Je ne sais pas,,"paysage / super pour se promener / parcours TRAIL, pas assez d'activités ",tranquilité et nature ,pas attractif c'est triste ,gens préfèrent être à la campagne (plus de sécurité à la campagne) et la ville c'est plus cher / impôt ,Pas du tout,mon médecin traitant est parti à la retraite et c'est très compliqué d'en trouver un nouveau. Et quand on n'a plus la mobilité c'est très compliqué d'en trouver un proche de chez soi ,au niveau salle de sport. Et les horaires des activités sur Lumbres / pas possible / aux horaires ,lumbres bibliothèque ,leclerc mais pour les habillements bof ,,sans voiture je ne fais rien. Bus très rare / 3 dans la journée ,J'aimerais mais,tout dépend à quelle fréquence ,J'aimerais mais,pas assez de lumière dans le village ,Je le fais déjà pour,me promener ,Non pas du tout,,j'aurais peur que ça affecte la sénérité au village. Il en faut mais pas trop ,Les vélos en libre service dans les villages. Magasins à développer. Et des activités qui raméneraient du monde / mais pas des activités de village : plus comme à Saint Omer qui organise une course (Croix Rouge) ou un Trail par exemple ,,,,c'est bien les gens vont se sentir plus concernés 
autre,chez moi ,"territoire de petits villages avec des exploitations agricoles à taille humaine, un paysage qui gagnerait à être connu, richesse touristique, avec des gens qui sont habitués à vivre ensemble de manière simple et modeste.","le coût de la vie, les terrains sont moins chers qu'ailleurs, infrastructures intéressantes sur Lumbres. On y trouve l'essentiel pour le quotidien ","vieillissement de la population, manque de dynamisme, politique faite pour des populations vieillissantes, sans trop d'attrait / pas d'attrait esthétique ","le prix de l'habitat et la recherche d'une vie dans la nature. Par contre la contruction est un peu anarchique et il n'y a pas de réflexion sur l'urbanisme, ce qui ne donne pas d'identité, il y a des souffrances sociales qui se développent ",Pas vraiment,quand on est nouvel arrivant très compliqué de trouver un médecin il faut aller à Saint Omer ,"beaucoup de choses pour les moyens locaux, c'est pas mal, clubs actifs, de beaux projets autour de la mise en valeur du territoire ","il manque une salle polyvalente car celle de Lumbres est overbooké. Il manque vraiment de lieux pour se retrouver. Il y a de la place là où il y a la piscine (actuelle). En valorisant, il pourrait y avoir de belles manifestations ","il faut revitaliser le centre ville ! le centre leclerc a tué la ville, les gens y vont sans même passer dans la ville.Dans le centre les locaux commerciaux sont trop chers, les commerçants ne s'en sortent pas, c'est inquiétant !",il n'y a pas de crèche ni de halte garderie qui pourrait être bien pour laisser les enfants 1 ou 2h. Utile aussi pour les gens qui cherchent du travail ,c'est regrétable. Dommage qu'il n'y ai plus de train qui desservait Boulogne etc. Appauvrissement des transports en commun,J'aimerais mais,je pense que c'est plus pour des jeunes ou retraités pour des horaires assez libres ,J'aimerais mais,le déplacement à vélo n'est pas pensé. le vélo électrique avec des bornes pourrait être bien ,Je le fais déjà pour,"balades (Val de Lumbres, bois d'Esquerdres) il pourrait y avoir des parcours plus valorisés ",J'aimerais mais,"il faudrait une centralisation de l'offre et demande sur le territoire, sans profit. Il faudrait un relais local",A condition qu'il y ait de la mixité sociale. Pas de quartiers de pauvres ,"Il faudrait montrer que Lumbres est une ville à la campagne / avoir une identité écologique, patrimoine naturel et sportif en extérieur. Il faut des maisons médicalisées dans les villages, avec des permanences. Il faut des lieux pour se retrouver (artisans, locaux, marchands). Un lieu intergénérationnel où des personnes agées s'occuperaient des petits, des devoirs. Il manque l'hébergement sur le territoire, à part le golf qui n'apporte rien ",,,,nécessaire 
un territoire,CC,vaste et disparate ,le prix du foncier pour acheter ou faire construire ,manque de disponibilité en location ou en achat. Trop cher / ou trop petit. On peut trouver pour une seule personne ou un couple sans enfant. Et pas très attractif ,prix d'achat ou location moins cher et accessibilité par la départementale (20min de Saint Omer Centre),Ne se prononce pas,j'ai mes habitudes sur Saint Omer. Offre de pharmacie pas suffisante / tout est fermé entre 12h/14h et ferme tôt,un équipement sportif indépendant de la structure scolaire pour les clubs ,néant ,,toutes les boulangeries (et autres) ferment entre 12h/14h,nécessité vitale ,J'aimerais mais,pas adapté à mon rythme de vie et mes trajets ,J'aimerais mais,pas adapté au relief et météo et pas d'amménagement ,Non pas du tout,,J'aimerais mais,pas vraiment possible / horaires pas compatibles ,sur endettement sur notre commune ,faire disparaitre les petites municipalités pour faire des territoires plus vastes : fusionner les communes. Créer des écoles RPC qui regrouperaient les élèves de tous les niveaux ,,,réunion d'informations / élu communal,pour la connaissance du territoire 
Je ne sais pas,chef de canton ,"campagne, calme ","proche des gros bourgs Saint Omer, Fauquembergues, Therouanne et Lumbres. Bien placé au milieu des grosses villes ",manque de travail ,il n'y a pas de possibilité de construire trop cher près de Saint Omer ,oui,,,,,,"le mari et la femme travaillent : moyen de locomotion pour se rendre au travail, dans les commerces et amener les enfants à l'école ",Non pas du tout,car j'ai un handicap ,Non pas du tout,,Non pas du tout,,Non pas du tout,pas dans mes pratiques et voiture de fonction ,pour aider les familles en difficultés ,faire une nouvelle école à Clety car l'actuelle est trop dangereuse (route à côté),,,,c'est bien pour faire bouger 
autre,un secteur ,manque de servives publics et de lignes urbaines dans les communes ,le prix des terrains et le retrait aux villages mais pas trop loin de villes ,le prix des locations qui auraient augmenté ,prix terrains et locations et être rapproché de son travail ,beaucoup,ambulancier services médicaux kiné à lumbres ,sur lumbres piscine club de sport foot hand ,que des asso individuels ,,soin pour la personne ok ,c'est logique pour se rendre au travail ,J'accepterais si,plus de lignes et horaires fixes ,Je le fais déjà pour,mes balades ,Je le fais déjà pour,,J'aimerais mais,il n'y a pas d'autres personnes pour aller à mon travail ,si ça peut aider ,la salle des fêtes sur notre commune qui n'est pas aux normes ,,,,c'est bien 
Je ne sais pas,,"belle région, promenades. j'ai toujours vécu ici ","le village, tout à proximité ",lumbres c'est une ville morte pas de centre-ville ,nsp ,Pas vraiment,"si c'est urgent pas de rdv dans la journée / manque de médecins, et les dentistes ce sont des mois d'attente ",,,,,c'est la vie d'aujourd'hui ,Non pas du tout,,J'aimerais mais,plus de pistes cyclables ,Je le fais déjà pour,,J'accepterais si,j'en avais besoin ,c'est moche ,nsp. je suis bien ,,,,pour voir la vie des gens 
autre,ensemble de communes ,proximité familiale / commerces /  piscine,proximité de l'autoroute / beau coin / et il y a le golf et les habitants sont accueillants ,les impots c'est peut être un peu plus cher. le type d'habitant (cat socio pro) qui aurait changé et peut être petite ville moins esprit village ,calme ,oui,,projet multi sport Acquin en cours ,associations qui organiseraient des pique nique ,,salon de détente Lumbres ,on est obligé. il n'y a rien / pas de transport en commun ,J'aimerais mais,pour les bus scolaires car Lumbres a tout arreté ,Non pas du tout,,Non pas du tout,,Non pas du tout,contraintes avec les enfants et horaires changeants ,faut penser aux autres ,nsp ,,,bulletin municipal ,ça peut être utile 
un territoire,,"territoire de vie à la campagne mais avec des services de santé, et commerces à proximité ","cadre de vie, paysage et relations humaines et proximité des infrastructures routières / écoles / commerces ",le facteur éco // secteur indu en déclin / difficile ,achat terrain moins cher et fiscalité moindre et l'éloignement ,Pas vraiment,,sports basiques ,,,,"c'est normal c'est l'éloignement, pas beaucoup de choses à proximité : faut bouger !",J'accepterais si,y'en avait et si rentable ,J'accepterais si,aménagements pour ,Je le fais déjà pour,,Non pas du tout,,pour des jeunes couples mais avec des aménagements intelligents ,"- aménagements pour les jeunes : facilité accès / covoit, pistes cyclables, logements. - nettoyage de tous nos petits chemins pour les randonneurs. - nouvelles technologies de comm (internet) ""ça ne passe pas ici pas de réseau ça rame""",,,,très bien 
Je ne sais pas,,On y est bien ,accès à tout / tout en étant à la campagne. Proche de Saint Omer. Plus de solidarité dans un village qu'en ville ,nsp ,tranquilité ,oui,,,"ce qu'il faut avec l'asso Plume (livres, dvd) gratuit et partout dans le pays de lumbres ",facile d'accès mais dommage qu'il y ait plus de grandes surfaces que de petits commerces ,,la voiture est obligatoire. Peu de bus ,J'accepterais si,"bus et bus spécial pour senior, marché. ",J'aimerais mais,j'en ai pas ,Je le fais déjà pour,balade ,Non pas du tout,,mais pas en immeuble ,"rien, on vit meiux depuis que nous sommes ici ",,,,pratique de pouvoir donner son avis 
